"code","dep_time","dep_place","arr_time","arr_place","aircraft","time"
"AB 4027","02:10","BKK","05:40","AUH","Boeing 777-300ER","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AB 4227","18:05","BKK","22:05","AUH","Airbus A330-200","['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']"
"AB 4985","14:40","VIE","17:10","SOF","Airbus A319","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"AB 5324","07:50","FRA","10:40","MAD","Airbus A319","['No', 'No', 'No', 'Yes', 'Yes', 'No', 'No']"
"AB 5342","12:30","VIE","15:40","MAD","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 5758","10:35","FRA","12:25","BEG","Airbus A319","['No', 'No', 'No', 'Yes', 'No', 'No', 'No']"
"AB 5762","09:45","VIE","11:05","BEG","ATR 72","['No', 'Yes', 'No', 'No', 'Yes', 'No', 'Yes']"
"AB 5903","13:05","DME","15:15","MUC","Airbus A320","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"AB 5907","12:55","DME","14:40","TXL","Airbus A319","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"AB 5911","12:40","DME","15:05","DUS","Boeing 737-800","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"AB 6574","08:35","FRA","09:45","TXL","Airbus A321","['Yes', 'Yes', 'Yes', 'No', 'No', 'No', 'Yes']"
"AB 6576","09:25","FRA","10:35","TXL","Airbus A320","['No', 'No', 'No', 'No', 'No', 'Yes', 'Yes']"
"AB 6580","10:50","FRA","12:00","TXL","Airbus A320","['Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes']"
"AB 8293","11:00","CDG","12:40","TXL","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'Yes', 'No']"
"AB 8403","08:20","VIE","09:35","TXL","Airbus A320","['No', 'No', 'No', 'No', 'No', 'No', 'Yes']"
"AB 8405","10:40","VIE","11:55","TXL","Airbus A320","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 8433","09:10","VIE","10:40","DUS","Airbus A320","['No', 'Yes', 'No', 'No', 'No', 'No', 'Yes']"
"AB 8435","10:30","VIE","12:00","DUS","Airbus A321","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 8437","13:30","VIE","15:00","DUS","Airbus A321","['No', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 8709","20:00","FCO","22:05","TXL","Airbus A320","['Yes', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 8713","19:45","FCO","21:50","DUS","Airbus A320","['Yes', 'No', 'No', 'No', 'Yes', 'No', 'No']"
"AB 9074","09:25","FRA","10:40","PRG","Airbus A319","['No', 'No', 'No', 'No', 'No', 'Yes', 'No']"
"AC 12","15:55","TPE","11:25","YVR","Boeing 787-900",""
